JobTitle,JobCompanyName,JobLocation,JobPostedDate,PositonID,JobLink,JobDesc,DateScrapedOn,
Sr. Frontend Engineer - CWPP (Remote),Crowdstrike,Kearny  NJ 07099•Remote,1 day ago,sj_c4528b9f27faaf60,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcwVMDF7LMKvmWrgOCGiAiMmzDSdMY1FjCGZv2MO_e_DYv9jUbZJDBp40jhNjtxcKXj1CGp85nm2iBOeVWXOEFK09hxsp30EUfIvIopgEFSh44frBXMFggumWrqsgK4kyorY1yHKnK0-J7a-J7pIBzbFxZrfrYGQ-dJG_ODiYrX4XD1zM4hAtovnu-RGA613IQ1C_Jyd839UyXQYO3kLDPd23RStdFCX8U9F5_0eeoEbu8r_4rzhqWDK_oSZEAA4FtSeuvWhOo3oYYtZxp6RZCG6TyYLqSHYR8IPhG6-chDg3jiEWCg7YYlH5p7m9bkYzHv7d59F6td2-fUd9HiiG1DB89rcX92V0zHG0K78C40RfFfPqZdYeICI1GkguPPF1KDjRTPpFBkRTWXmx9bIRJH1-iX8sXmPpPdjLduDEdb_7k5kzlQDeO9hy9NR--WkRUGdlonSTzCRPITCJVwrNuTtSiUxNpV7z2RdfZoz7GmoYtk5eVK-OKg6Tif4yGbcLZ5cgunBXD0R2n0FkCcAbhRbSY4G3nmHsftpaLu3OMXHPSviwWrZeLkyOL1O9ED97Tw0ikRFGBo42CN6cnzhkT_DIr8c6OGbxtUaABSlPpqpE9Gw5T6c5KxmwNY2TQvoNT85XF8u2N7AmImc3IVgbq1Ql6AIwOmgS-rfM_tsjxN-t07CCLRqjAbgsSmTKZU140vpsxSmS6Pw==&p=0&fvj=0&vjs=3,CrowdStrike’s CWPP offering will give customers the ability to monitor and track their cloud-native workloads as well as hardening and protecting them against…,2021/08/18 22:27:19
Selenium Tester,Kani Solutions Inc.,Newark  NJ•Temporarily Remote,Today,job_386dc51dfff388e8,https://www.indeed.com/company/Kani-Solutions-Inc./jobs/Selenium-Tester-386dc51dfff388e8?fccid=22363ba265dbde07&vjs=3,Automation test person with 2 to 7 years of experience in selenium and API automation. Identify automation test cases from pool of functional test cases.,2021/08/18 22:27:20
Test Analysts - Prog,Capgemini,New York  NY+1 location,Just posted,job_f724898dacb5e8ba,https://www.indeed.com/rc/clk?jk=f724898dacb5e8ba&fccid=105ecfd0283f415f&vjs=3,Must have Selenium Automation Tool experience. Must have Salesforce testing experience. Should be able to work in Onshore Offshore model.,2021/08/18 22:27:20
SFDC Tester,THEMESOFT,Newark  NJ•Temporarily Remote,Just posted,job_b8418c05f42d21f0,https://www.indeed.com/company/THEMESOFT/jobs/Sfdc-Tester-b8418c05f42d21f0?fccid=add00ccb9ea1b563&vjs=3,SIT Testing in Salesforce Environment. Test management  Defect management  Functional Testing  SIT  Regression testing  Website or Digital Testing  Test…,2021/08/18 22:27:20
COVID-19 Tester,Infiniti Health  LLC,Van Nuys  CA,1 day ago,job_661ba1e7fd3cbd41,https://www.indeed.com/company/Infiniti-Health -LLC/jobs/Covid-Tester-661ba1e7fd3cbd41?fccid=d9296217e9b05f2e&vjs=3,Adaptable with excellent customer service skills. Observe patients after receiving Covid-19 Vaccination. Clinical acumen to collect nasal/mouth swabs for COVID…,2021/08/18 22:27:20
Quality Engineer - Telecommute in Basking Ridge  NJ,UnitedHealth Group,Basking Ridge  NJ 07920•Remote,Just posted,job_1948490387b74680,https://www.indeed.com/rc/clk?jk=1948490387b74680&fccid=d3d3520998346837&vjs=3,These roles include  but are not limited to  strategy  planning  standards  process  policy  tools  engineering  assurance  management  metrics  research and…,2021/08/18 22:27:20
QA Functional Tester,ProFocus,Oregon•Remote,1 day ago,job_973bb4854c7c1f15,https://www.indeed.com/rc/clk?jk=973bb4854c7c1f15&fccid=0c4cb88efa29d448&vjs=3,ProFocus is searching for a QA Functional Tester with experience testing complex enterprise software solutions for a 6–12 month contract.,2021/08/18 22:27:21
Sales Engineer,testrigor,California•Remote,1 day ago,job_adda80579767829e,https://www.indeed.com/rc/clk?jk=adda80579767829e&fccid=f760033957d36d91&vjs=3,Searching for new clients who could benefit from your products in a designated region. Establishing new  and maintaining existing  relationships with customers.,2021/08/18 22:27:21
Functional Tester,Deloitte,Denver  CO,1 day ago,job_9cfbcb7d3ad316bf,https://www.indeed.com/rc/clk?jk=9cfbcb7d3ad316bf&fccid=9e215d88a6b33622&vjs=3,As an experienced Functional Tester you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…,2021/08/18 22:27:21
Quality Engineer,Prudential,Newark  NJ 07102 (Central Business District area),Today,job_b175243dcb80ca3c,https://www.indeed.com/rc/clk?jk=b175243dcb80ca3c&fccid=4144c0c6235e4037&vjs=3,The Quality Engineer is a key contributor responsible for performing quality management practices to satisfy software acceptance criteria and/or test…,2021/08/18 22:27:21
Quality Analyst Engineer,Integrate Delivery INC,Remote,1 day ago,job_c87799fb9f08dd47,https://www.indeed.com/company/Integrate-Delivery-INC/jobs/Quality-Analyst-Engineer-c87799fb9f08dd47?fccid=9f1aa8d913df1c8a&vjs=3,We offer a competitive total compensation package and comprehensive benefits *. Paid time off (\*) in addition to holidays. Job Types: Full-time  Contract.,2021/08/18 22:27:21
SDET-Automation tester,Aditya Birla Group,West Palm Beach  FL+1 location•Remote,1 day ago,job_4f8650a38229fd4e,https://www.indeed.com/company/Aditya-Birla-Group/jobs/Sdet-Automation-Tester-4f8650a38229fd4e?fccid=bcea998fe2ab5099&vjs=3,C# and Selenium Automation (C# experience must). Test Automation - Spec flow  Selenium.,2021/08/18 22:27:22
